Title,Authors,Genres,Year,Pages,Publisher,Language,ISBN,ISBN13,URL
Craving : Steel Brothers: One,Helen Hardt,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 May 2016,288,Waterhouse Press,English,1943893179,1943893179,https://www.bookdepository.com/Craving-Helen-Hardt/9781943893171?ref=grid-view,
The Perfect Hope : The Inn Boonsboro Trilogy,Nora Roberts,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,06 Nov 2012,336,Penguin Putnam Inc,English,0425246043,0425246043,https://www.bookdepository.com/Perfect-Hope-Nora-Roberts/9780425246047?ref=grid-view,
Unraveled : Steel Brothers: Nine,Helen Hardt,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,13 Feb 2018,288,Waterhouse Press,English,194389325X,194389325X,https://www.bookdepository.com/Unraveled-Helen-Hardt/9781943893256?ref=grid-view,
Maybe Someday,Colleen Hoover,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Mar 2014,370,SIMON & SCHUSTER,English,1476753164,1476753164,https://www.bookdepository.com/Maybe-Someday-Colleen-Hoover/9781476753164?ref=grid-view,
Lover Unleashed,J R Ward,Romance:Romance Books,01 Nov 2011,548,Penguin Putnam Inc,English,0451235118,0451235118,https://www.bookdepository.com/Lover-Unleashed-J-R-Ward/9780451235114?ref=grid-view,
The Shadow Sister,Lucinda Riley,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction:Sci Fi Books for Kids,20 Apr 2017,704,Pan MacMillan,English,1447288629,1447288629,https://www.bookdepository.com/Shadow-Sister-Lucinda-Riley/9781447288626?ref=grid-view,
The Time Traveler's Wife,Audrey Niffenegger,Contemporary Fiction:Romance:Romance Books,02 Sep 2009,624,Vintage Publishing,English,0099546183,0099546183,https://www.bookdepository.com/Time-Travelers-Wife-Audrey-Niffenegger/9780099546184?ref=grid-view,
The One Plus One,Jojo Moyes,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Feb 2015,560,Penguin Books Ltd,English,1405909056,1405909056,https://www.bookdepository.com/One-Plus-One-Jojo-Moyes/9781405909051?ref=grid-view,
The Black Moon,Winston Graham,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,04 Jun 2008,560,Pan MacMillan,English,0330463322,0330463322,https://www.bookdepository.com/Black-Moon-Winston-Graham/9780330463324?ref=grid-view,
Confess,Colleen Hoover,Romance:Romance Books,20 Oct 2015,320,Simon & Schuster Ltd,English,1471148599,1471148599,https://www.bookdepository.com/Confess-Colleen-Hoover/9781471148590?ref=grid-view,
Lover Mine : A Novel of the Black Dagger Brotherhood,J R Ward,Romance:Romance Books,25 Jul 2011,633,Penguin Putnam Inc,English,0451231554,0451231554,https://www.bookdepository.com/Lover-Mine-J-R-Ward/9780451231550?ref=grid-view,
Captive Prince : Book One of the Captive Prince Trilogy,C. S. Pacat,Contemporary Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,23 Apr 2015,292,Penguin Putnam Inc,English,0425274268,0425274268,https://www.bookdepository.com/Captive-Prince-C-S-Pacat/9780425274262?ref=grid-view,
Beneath a Scarlet Sky : A Novel,Mark T. Sullivan,Contemporary Fiction:World War 2 Fiction:Romance:Romance Books:Sagas:Historical Fiction,01 May 2017,524,Amazon Publishing,English,1503943372,1503943372,https://www.bookdepository.com/Beneath-Scarlet-Sky-Mark-T-Sullivan/9781503943377?ref=grid-view,
