Title,Authors,Genres,Year,Pages,Publisher,Language,ISBN,ISBN13,URL
Kissed by an Angel/The Power of Love/Soulmates,Elizabeth Chandler,Young Adult;Romance;Paranormal;Angels;Fantasy;Paranormal;Fantasy,December 16th 2008,704,Simon Pulse,,,9781416978831,https://www.goodreads.com/book/show/5575916-kissed-by-an-angel-the-power-of-love-soulmates,
Vision in White,Nora Roberts,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,April 28th 2009,325,Berkley Books,English,0425227510,9780425227510,https://www.goodreads.com/book/show/5598113-vision-in-white,
Firelight,Sophie Jordan,Fantasy;Young Adult;Fantasy;Dragons;Romance;Fantasy;Paranormal,September 7th 2010,323,HarperTeen,English,0061935085,9780061935084,https://www.goodreads.com/book/show/6448470-firelight,
Goddess of Light,P.C. Cast,Romance;Paranormal Romance;Fantasy;Mythology;Fantasy;Paranormal;Fantasy;Romance,April 5th 2005,355,Berkley,English,0425201961,9780425201961,https://www.goodreads.com/book/show/30190.Goddess_of_Light,
The Outsiders,S.E. Hinton,Classics;Young Adult;Fiction,September 1st 1988,192,Puffin Books,;,English,None,https://www.goodreads.com/book/show/231804.The_Outsiders,
The Mighty Storm,Samantha Towle,Romance;Contemporary;Adult;Adult Fiction;Erotica;Did Not Finish,August 24th 2012,442,,,B0091W6XQI,None,https://www.goodreads.com/book/show/15724654-the-mighty-storm,
Rules of Protection,Alison Bliss,Romance;Humor;Funny;Romance;Contemporary Romance;Did Not Finish;Contemporary;Suspense,August 26th 2014,392,Entangled: Select,,,9781633750623,https://www.goodreads.com/book/show/22859182-rules-of-protection,
Honey Moon,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,June 1st 1993,448,Pocket Books,English,0671735934,9780671735937,https://www.goodreads.com/book/show/790142.Honey_Moon,
All The Wrong Reasons,J.L. Paul,Romance;New Adult;Young Adult;Contemporary;Academic;College;Romance;Contemporary Romance,February 24th 2011,239,Amazon Digital Services,,English,None,https://www.goodreads.com/book/show/11793544-all-the-wrong-reasons,
Flowers from the Storm,Laura Kinsale,Romance;Historical Romance;Romance;Historical;Historical Fiction;Historical,May 27th 2003,533,Avon,English,0380761327,9780380761326,https://www.goodreads.com/book/show/360259.Flowers_from_the_Storm,
Bloodlines,Richelle Mead,Young Adult;Paranormal;Vampires;Fantasy;Fantasy;Paranormal,August 23rd 2011,421,Penguin Group,English,1595143173,9781595143174,https://www.goodreads.com/book/show/8709527-bloodlines,
Archer's Voice,Mia Sheridan,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Adult,November 1st 2016,345,Forever,English,1538727374,9781538727379,https://www.goodreads.com/book/show/32822135-archer-s-voice,
The Marriage Bargain,Jennifer Probst,Romance;Romance;Contemporary Romance;Contemporary;Adult;Womens Fiction;Chick Lit;Adult Fiction;Erotica;New Adult;Fiction;Humor;Funny;Love,February 14th 2012,160,Entangled Publishing (Indulgence),English,1937044963,9781937044961,https://www.goodreads.com/book/show/13486122-the-marriage-bargain,
Extreme Exposure,Pamela Clare,Romance;Romantic Suspense;Romance;Romance;Contemporary Romance;Suspense;Contemporary,August 2nd 2005,335,Berkley,English,0425206335,9780425206331,https://www.goodreads.com/book/show/159767.Extreme_Exposure,
Something Wonderful,Judith McNaught,Romance;Historical Romance;Historical;Romance;Historical;Regency;Historical;Historical Fiction;Fiction,January 1st 1991,418,Pocket Books,English,0671737635,9780671737634,https://www.goodreads.com/book/show/129616.Something_Wonderful,
A Discovery of Witches,Deborah Harkness,Fantasy;Fiction;Fantasy;Paranormal;Romance;Paranormal;Vampires;Paranormal;Witches,February 2011,579,Viking Penguin,English,0670022411,9780670022410,https://www.goodreads.com/book/show/8667848-a-discovery-of-witches,
Lover Mine,J.R. Ward,Romance;Paranormal Romance;Paranormal;Vampires;Romance;Fantasy,April 27th 2010,528,NAL,English,0451229851,9780451229854,https://www.goodreads.com/book/show/7046495-lover-mine,
Captive in the Dark,C.J. Roberts,Dark;Adult Fiction;Erotica;Erotica;Bdsm;Romance;Adult;Contemporary;Sociology;Abuse;New Adult;Romance;Contemporary Romance;Romance;Erotic Romance,July 20th 2011,276,CJ Roberts,,2940011444937,None,https://www.goodreads.com/book/show/12513614-captive-in-the-dark,
The Secret,Julie Garwood,Romance;Historical Romance;Historical;Romance;Historical;Historical Fiction;Historical;Medieval,May 1st 1992,379,Pocket Books,English,0671744216,9780671744212,https://www.goodreads.com/book/show/107770.The_Secret,
Jewels of the Sun,Nora Roberts,Romance;Romance;Contemporary Romance;Fiction;Fantasy;Contemporary,November 1st 1999,347,Jove,English,0515126772,9780515126778,https://www.goodreads.com/book/show/59810.Jewels_of_the_Sun,
Redeeming Love,Francine Rivers,Religion;Novels;Christian,May 9th 2005,464,Multnomah,English,1590525132,9781590525135,https://www.goodreads.com/book/show/11422.Redeeming_Love,
Secrets of a Summer Night,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Adult,November 28th 2006,384,Avon,English,0061259349,9780061259340,https://www.goodreads.com/book/show/114162.Secrets_of_a_Summer_Night,
Perfect You,Elizabeth Scott,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit;Realistic Fiction,March 25th 2008,282,Simon Pulse,English,1416953558,9781416953555,https://www.goodreads.com/book/show/1754206.Perfect_You,
Perfect,Judith McNaught,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Romance;Historical Romance,December 1st 2002,704,Pocket Books,English,0743474171,9780743474177,https://www.goodreads.com/book/show/129617.Perfect,
Shadow Kiss,Richelle Mead,Young Adult;Paranormal;Vampires;Fantasy;Fantasy;Paranormal;Romance,January 2nd 2008,443,Razorbill,English,1595141979,9781595141972,https://www.goodreads.com/book/show/2802316-shadow-kiss,
Smooth Talking Stranger,Lisa Kleypas,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult,March 31st 2009,340,St. Martin's Press,English,0312351666,9780312351663,https://www.goodreads.com/book/show/4066312-smooth-talking-stranger,
Some Girls Bite,Chloe Neill,Fantasy;Urban Fantasy;Paranormal;Vampires;Fantasy;Paranormal;Fantasy;Romance;Romance;Paranormal Romance,April 7th 2009,341,Berkley Books,English,0451226259,9780451226259,https://www.goodreads.com/book/show/4447622-some-girls-bite,
Blue-Eyed Devil,Lisa Kleypas,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult,March 25th 2008,336,St. Martin's Press,,,9780312351649,https://www.goodreads.com/book/show/1756703.Blue_Eyed_Devil,
Frostbite,Richelle Mead,Young Adult;Paranormal;Vampires;Fantasy;Fantasy;Paranormal;Romance,April 10th 2008,327,Razorbill,English,1595141758,9781595141750,https://www.goodreads.com/book/show/2282133.Frostbite,
Lord of Scoundrels,Loretta Chase,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Fiction,January 1995,375,Avon Books,English,0380776162,9780380776160,https://www.goodreads.com/book/show/425377.Lord_of_Scoundrels,
Virgin River,Robyn Carr,Romance;Romance;Contemporary Romance;Contemporary;Fiction,April 1st 2007,386,Mira Books,English,0778324907,9780778324904,https://www.goodreads.com/book/show/184850.Virgin_River,
Rebecca,Daphne du Maurier,Classics;Fiction;Mystery;Romance;Gothic;Historical;Historical Fiction,December 17th 2013,449,Little; Brown and Company,English,0316323705,9780316323703,https://www.goodreads.com/book/show/17899948-rebecca,
Darkfever,Karen Marie Moning,Fantasy;Fantasy;Urban Fantasy;Fantasy;Paranormal;Romance;Romance;Paranormal Romance;Fairies;Fae;Adult;Fiction,October 31st 2006,309,Delacorte Press,English,0385339151,9780385339155,https://www.goodreads.com/book/show/112750.Darkfever,
City of Fallen Angels,Cassandra Clare,Fantasy;Young Adult;Fantasy;Paranormal;Romance,April 5th 2011,424,Simon & Schuster Children's; Margaret K. McElderry Books,English,1442403543,9781442403543,https://www.goodreads.com/book/show/6752378-city-of-fallen-angels,
Mackenzie's Mountain,Linda Howard,Romance;Romance;Contemporary Romance;Contemporary;Romance;Romantic Suspense;Westerns;Suspense,March 1st 2000,256,Mira Books,English,1551665743,9781551665740,https://www.goodreads.com/book/show/662323.Mackenzie_s_Mountain,
Clockwork Prince,Cassandra Clare,Fantasy;Young Adult;Romance;Fantasy;Paranormal;Science Fiction;Steampunk,December 6th 2011,502,Simon & Schuster; Margaret K. McElderry,English,1416975888,9781416975885,https://www.goodreads.com/book/show/10025305-clockwork-prince,
Heaven; Texas,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Sports and Games;Sports;Womens Fiction;Chick Lit;Contemporary Romance;Sports Romance,April 1st 1995,384,Avon,English,0380776847,9780380776849,https://www.goodreads.com/book/show/73084.Heaven_Texas,
Romancing Mister Bridgerton,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,July 2nd 2002,370,Avon,English,0380820846,9780380820849,https://www.goodreads.com/book/show/110384.Romancing_Mister_Bridgerton,
Seduce Me at Sunrise,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,September 30th 2008,360,St. Martin's Paperbacks,English,0312949812,9780312949815,https://www.goodreads.com/book/show/2948832-seduce-me-at-sunrise,
Taking Chances,Molly McAdams,Romance;New Adult;Contemporary;Young Adult;Academic;College,October 16th 2012,432,William Morrow Paperbacks,,English,None,https://www.goodreads.com/book/show/15739018-taking-chances,
I've Got Your Number,Sophie Kinsella,Womens Fiction;Chick Lit;Romance;Contemporary Romance;Humor;Funny;Romance;Audiobook;Adult Fiction;Contemporary;Humor;Humor;Comedy;Fiction,February 14th 2012,433,The Dial Press,English,0385342063,9780385342063,https://www.goodreads.com/book/show/12033455-i-ve-got-your-number,
One Day,David Nicholls,Fiction;Romance;Contemporary;Womens Fiction;Chick Lit,June 11th 2009,435,Hodder & Stoughton,English,0340896965,9780340896969,https://www.goodreads.com/book/show/6280118-one-day,
Montana Sky,Nora Roberts,Romance;Romance;Contemporary Romance;Fiction;Contemporary;Mystery;Romance;Romantic Suspense,June 27th 2006,448,Berkley,English,0425205754,9780425205754,https://www.goodreads.com/book/show/114144.Montana_Sky,
Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult;Romance;Historical;Literature;Childrens;Classics;Classic Literature;Literature;19th Century,April 6th 2004,449,Signet Classics,English,0451529308,9780451529305,https://www.goodreads.com/book/show/1934.Little_Women,
Dance Upon the Air,Nora Roberts,Romance;Fantasy;Paranormal;Fantasy;Fiction;Romance;Contemporary Romance;Romance;Paranormal Romance,August 2nd 2001,400,Piatkus,English,0749932775,9780749932770,https://www.goodreads.com/book/show/59829.Dance_Upon_the_Air,
Tangled,Emma Chase,Romance;Contemporary;Romance;Contemporary Romance;New Adult;Humor;Funny;Adult,August 2nd 2013,254,Gallery Books,,B00DJWV11I,None,https://www.goodreads.com/book/show/18297707-tangled,
The Wolf and the Dove,Kathleen E. Woodiwiss,Romance;Romance;Historical Romance;Historical;Historical;Medieval;Historical;Historical Fiction,August 28th 2007,512,Avon,English,0380007789,9780380007783,https://www.goodreads.com/book/show/896622.The_Wolf_and_the_Dove,
P.S. I Love You,Cecelia Ahern,Romance;Womens Fiction;Chick Lit;Fiction;Contemporary,January 5th 2005,470,Hachette Books,English,0786890754,9780786890750,https://www.goodreads.com/book/show/366522.P_S_I_Love_You,
The Secret of Ella and Micha,Jessica Sorensen,New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College,October 4th 2012,313,,English,1939045010,9781939045010,https://www.goodreads.com/book/show/15717876-the-secret-of-ella-and-micha,
Almost Heaven,Judith McNaught,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction,January 1st 1999,544,Pocket Books,English,0671011332,9780671011338,https://www.goodreads.com/book/show/129621.Almost_Heaven,
Ugly Love,Colleen Hoover,Romance;Contemporary Romance;Fiction,August 5th 2014,337,Atria Books,,B00HB62MC0,None,https://www.goodreads.com/book/show/17788401-ugly-love,
Ransom,Julie Garwood,Romance;Historical Romance;Romance;Historical;Historical;Medieval;Historical;Historical Fiction;Fiction;Cultural;Scotland;Adult;Historical Romance;Medieval Romance;Humor;Funny,December 27th 2002,546,Pocket Books,English,074347418X,9780743474184,https://www.goodreads.com/book/show/107776.Ransom,
Prince of Wolves,Quinn Loftis,Fantasy;Paranormal;Young Adult;Shapeshifters;Werewolves;Fantasy;Romance,June 29th 2011,230,,,B005983WCQ,None,https://www.goodreads.com/book/show/11947156-prince-of-wolves,
The Selection,Kiera Cass,Young Adult;Romance;Science Fiction;Dystopia;Fantasy,April 24th 2012,336,HarperTeen,English,0062059939,9780062059932,https://www.goodreads.com/book/show/10507293-the-selection,
Morning Glory,LaVyrle Spencer,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Fiction;Westerns,,480,Grafton / HarperCollins,English,0586210415,9780586210413,https://www.goodreads.com/book/show/987577.Morning_Glory,
It Happened One Autumn,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,September 27th 2005,382,Avon,English,0060562498,9780060562496,https://www.goodreads.com/book/show/827412.It_Happened_One_Autumn,
Boycotts & Barflies,Victoria Michaels,Romance;Womens Fiction;Chick Lit;Humor;Funny;Romance;Contemporary Romance;Contemporary;Adult,February 16th 2010,422,Omnific Publishing,,,9781936305001,https://www.goodreads.com/book/show/7743756-boycotts-barflies,
Rock and a Hard Place,Angie Stanton,Young Adult;Romance;Contemporary;Music;Womens Fiction;Chick Lit;Romance;Contemporary Romance,May 3rd 2011,207,Vanguard Management,,English,None,https://www.goodreads.com/book/show/11419693-rock-and-a-hard-place,
The Wedding,Julie Garwood,Romance;Historical Romance;Historical;Romance;Historical;Medieval;Historical;Historical Fiction,January 1st 2003,384,Pocket Books,English,0743467213,9780743467216,https://www.goodreads.com/book/show/107778.The_Wedding,
Fantasy Lover,Sherrilyn Kenyon,Romance;Romance;Paranormal Romance;Fantasy;Paranormal;Fantasy;Fantasy;Urban Fantasy;Adult,February 18th 2002,337,St. Martin's Press,English,0312979975,9780312979973,https://www.goodreads.com/book/show/84136.Fantasy_Lover,
Love Story,Erich Segal,Romance;Classics;Fiction;Womens Fiction;Chick Lit;Contemporary,May 29th 2012,224,Avon,,0380017601,9780380017607,https://www.goodreads.com/book/show/73968.Love_Story,
Stardust,Neil Gaiman,Fantasy;Fiction,August 29th 2006,248,Harper Perennial,English,0061142026,9780061142024,https://www.goodreads.com/book/show/16793.Stardust,
Real,Katy Evans,Romance;Contemporary;Romance;Contemporary Romance;Sports and Games;Sports;Warfare;Fighters,April 8th 2013,293,Smashwords,English,1301347949,9781301347940,https://www.goodreads.com/book/show/17617277-real,
Like Water for Chocolate,Laura Esquivel;Thomas  Christensen;Carol Christensen,Fiction;Romance;Magical Realism;Historical;Historical Fiction;Classics;Fantasy;Food and Drink;Food,October 1st 1996,221,Random House Black Swan,English,0552995878,9780552995870,https://www.goodreads.com/book/show/6952.Like_Water_for_Chocolate,
The Opportunist,Tarryn Fisher,New Adult;Contemporary;Romance,November 14th 2011,278,,,English,None,https://www.goodreads.com/book/show/13312527-the-opportunist,
Perfection,R.L. Mathewson,Romance;Romance;Contemporary Romance;Contemporary;Humor;Funny;Adult,August 27th 2011,247,,,9780983212553,None,https://www.goodreads.com/book/show/12351649-perfection,
In Flight,R.K. Lilley,Romance;Erotica;Bdsm;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;Adult,October 20th 2012,330,R.K. Lilley,,B009UFDW9W,None,https://www.goodreads.com/book/show/16134782-in-flight,
The Sea of Tranquility,Katja Millay,Young Adult;Romance;Contemporary;Sociology;Abuse;Fiction;New Adult,November 13th 2012,426,Atria Books,,B009R44MQ8,None,https://www.goodreads.com/book/show/16151178-the-sea-of-tranquility,
Love Unrehearsed,Tina Reber,Romance;Romance;Contemporary Romance;Contemporary;New Adult;Adult,September 14th 2012,448,Atria Books,,B0092PKKWC,None,https://www.goodreads.com/book/show/12647642-love-unrehearsed,
Vain,Fisher Amelie,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance,December 2012,390,Fisher Amelie,,,None,https://www.goodreads.com/book/show/25420031-vain,
The Bridges of Madison County,Robert James Waller,Fiction;Romance;Classics;Womens Fiction;Chick Lit;Contemporary,September 1st 1995,224,Grand Central Publishing,English,0446364495,9780446364492,https://www.goodreads.com/book/show/83674.The_Bridges_of_Madison_County,
Dear John,Nicholas Sparks,Romance;Fiction;Womens Fiction;Chick Lit;Contemporary;Adult;Adult Fiction;Love;Young Adult;Drama;Romance;Contemporary Romance,October 30th 2006,276,Warner Books,English,0446528056,9780446528054,https://www.goodreads.com/book/show/5526.Dear_John,
