Title,Authors,Genres,Publishing Date,Pages,Publisher,Language
The Fifth Letter,Nicola Moriarty,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,23 Feb 2017,368,Penguin Books Ltd,English
The Shadows,J R Ward,Contemporary Fiction:Romance:Romance Books,06 Oct 2015,623,Berkley Books,English
Hello Stranger : The Ravenels Book 4,Lisa Kleypas,Romance:Romance Books:Historical Romance:Historical Romance,27 Feb 2018,400,AVON BOOKS,English
Ross Poldark,Winston Graham,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,12 Feb 2015,480,Pan MacMillan,English
Demelza,Winston Graham,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,12 Feb 2015,544,Pan MacMillan,English
The Wild Rose,Jennifer Donnelly,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,01 Jun 2012,623,Hyperion,English
Keep the Home Fires Burning : A heartwarming saga to curl up with this winter,S. Block,Contemporary Fiction:Military Fiction:Romance:Romance Books:Historical Romance:Historical Romance:Sagas:Historical Fiction,03 May 2018,512,Zaffre Publishing,English
Hothouse Flower,Lucinda Riley,Contemporary Fiction:World War 2 Fiction:Romance:Romance Books:Historical Romance:Historical Romance:Sagas,28 Feb 2011,592,Penguin Books Ltd,English
Someone to Wed,Mary Balogh,Romance:Romance Books:Historical Romance:Historical Romance,07 Nov 2017,383,Berkley Books,English
The Girl With the Make-Believe Husband : A Bridgertons Prequel,Julia Quinn,Romance:Romance Books:Historical Romance:Historical Romance,14 Jun 2017,374,HarperCollins Publishers Inc,English
The Italian Wife : 'Breathtaking historical fiction' The Times,Kate Furnivall,Crime:Crime Fiction:Historical Crime:Historical Crime:Military Fiction:Romance:Romance Books:Historical Romance:Historical Romance,07 May 2015,448,Little Brown Book Group,English
The Lady Most Likely... : A Novel in Three Parts,Julia Quinn:Eloisa James:Connie Brockway,Historical Romance:Historical Romance,11 Jul 2011,372,HarperCollins Publishers Inc,English
The Promise,Lesley Pearse,Contemporary Fiction:Historical Crime:Historical Crime:Historical Romance:Historical Romance:Sagas:Historical Fiction,05 Jul 2012,528,Penguin Books Ltd,English
Warleggan,Winston Graham,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,08 Sep 2016,496,Pan MacMillan,English
And Then She Fell,Stephanie Laurens,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,01 Jul 2013,370,HarperCollins Publishers Inc,English
The Thousand Autumns of Jacob de Zoet,David Mitchell,Contemporary Fiction:Historical Romance:Historical Romance,01 Mar 2011,502,Random House LCC US,English
The Scarlet Letter,Nathaniel Hawthorne,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,04 Aug 2009,274,Penguin Putnam Inc,English
The Woman in the Wood,Lesley Pearse,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,07 Sep 2017,400,Penguin Books Ltd,English
This Earth of Mankind,Pramoedya Ananta Toer,Contemporary Fiction:Historical Romance:Historical Romance,01 May 1996,368,Penguin Books Ltd,English
These Old Shades,Georgette Heyer,Historical Romance:Historical Romance:Historical Fiction,15 Jan 2004,352,Cornerstone,English
Mrs. Hemingway,Naomi Wood,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,05 Jul 2015,256,Pan MacMillan,English
The Four Swans,Winston Graham,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,01 Jun 2017,608,Pan MacMillan,English
Beneath a Burning Sky : A gripping mystery and a beautiful love story that ticks all the boxes,Jenny Ashcroft,Contemporary Fiction:Crime:Crime Fiction:Historical Crime:Historical Crime:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,20 Nov 2018,432,Little Brown Book Group,English
Regency Buck,Georgette Heyer,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,15 Jan 2004,368,Cornerstone,English
The Girl on the Cliff,Lucinda Riley,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance:Sagas:Historical Fiction,01 Nov 2011,576,Penguin Books Ltd,English
Jane Austen: The Complete Works : Classics Hardcover Boxed Set,Jane Austen,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,30 Oct 2014,1,Penguin Books Ltd,English
Jeremy Poldark,Winston Graham,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,08 Sep 2016,368,Pan MacMillan,English
The Taming of the Queen,Philippa Gregory,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,25 Feb 2016,464,Simon & Schuster Ltd,English
A Match for Marcus Cynster,Stephanie Laurens,Historical Crime:Historical Crime:Historical Romance:Historical Romance:Historical Fiction,26 May 2015,448,Mira Books,English
The Duchess Deal : Girl Meets Duke,Tessa Dare,Historical Romance:Historical Romance,05 Oct 2017,384,HarperCollins Publishers Inc,English
The Greatest Challenge of Them All,Stephanie Laurens,Historical Romance:Historical Romance:Sagas,07 Jul 2017,None,Savdek Management,English
Shadow Music : A Novel,Julie Garwood,Thriller Books:Thrillers:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,30 Dec 2008,438,Random House USA Inc,English
Doctor Zhivago,Boris Pasternak,Classic Books & Novels:Romance:Romance Books:Historical Romance:Historical Romance:Sagas:Historical Fiction,05 Jan 2017,544,Vintage Publishing,English
The Lady Risks All,Stephanie Laurens,Historical Romance:Historical Romance,14 Feb 2013,483,HarperCollins Publishers Inc,English
Someone to Care,Mary Balogh,Romance:Romance Books:Historical Romance:Historical Romance,01 May 2018,384,Berkley Books,English
The Pearl Sister,Lucinda Riley,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction,05 Apr 2018,704,Pan MacMillan,English
The Brothers Karamazov,Fyodor Dostoevsky,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,01 May 1997,796,Everyman,English
The Perfume Collector,Kathleen Tessaro,Contemporary Fiction:Historical Romance:Historical Romance,03 Apr 2013,496,HarperCollins Publishers,English
The Tempting of Thomas Carrick,Stephanie Laurens,Historical Crime:Historical Crime:Historical Romance:Historical Romance:Historical Fiction,24 Feb 2015,456,Mira Books,English
Remember Me,Lesley Pearse,Historical Romance:Historical Romance:Historical Fiction,11 Dec 2009,560,Penguin Books Ltd,English
The Autumn Bride,Anne Gracie,Romance:Romance Books:Historical Romance:Historical Romance,02 May 2013,310,Penguin Putnam Inc,English
Jane Austen (Barnes & Noble Omnibus Leatherbound Classics) : Seven Novels,Jane Austen,Classic Books & Novels:Historical Romance:Historical Romance,18 May 2016,1232,Barnes & Noble Inc,English
Bride by Mistake,Anne Gracie,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,03 Jan 2012,309,Penguin Putnam Inc,English
Emily's Quest,L. M. Montgomery,Historical Romance:Historical Romance:Children's Fiction:Children's General Story Books:Historical,01 Jun 1997,228,Bantam Doubleday Dell Publishing Group Inc,English
The Blue Flower,Penelope Fitzgerald,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,05 Aug 1996,320,HarperCollins Publishers,English
Sense and Sensibility and Sea Monsters,Jane Austen:Ben H. Winters,Contemporary Fiction:Horror:Horror:Historical Romance:Historical Romance:Parodies & Spoofs,01 Oct 2009,344,Quirk Books,English
Sashenka,Simon Sebag Montefiore,Contemporary Fiction:Historical Romance:Historical Romance,04 Jul 2011,640,Transworld Publishers Ltd,English
Before We Were Yours,Lisa Wingate,Romance:Romance Books:Historical Romance:Historical Romance:Sagas:Historical Fiction:History Of The Americas:Adoption,12 Jul 2018,480,Quercus Publishing,English
The Duke Is Mine,Eloisa James,Contemporary Fiction:Historical Romance:Historical Romance,27 Dec 2011,400,HarperCollins Publishers Inc,English
The Brazen Bride,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance,08 Jul 2011,425,HarperCollins Publishers Inc,English
The Pearl Sister,Lucinda Riley,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction,31 Oct 2017,704,Pan MacMillan,English
The Stranger I Married,Sylvia Day,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,21 Dec 2012,304,Penguin Books Ltd,English
Scandal's Bride,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance,11 Jul 2011,404,HarperCollins Publishers Inc,English
The Escape,Mary Balogh,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,01 Jul 2014,394,Dell,English
Survivor,Lesley Pearse,Contemporary Fiction:Historical Crime:Historical Crime:Historical Romance:Historical Romance:Historical Fiction,17 Jul 2014,560,Penguin Books Ltd,English
The Peculiar Case of Lord Finsbury's Diamonds,Stephanie Laurens,Crime:Crime Fiction:Romance:Romance Books:Historical Romance:Historical Romance,20 Jan 2014,132,Savdek Management,English
Worth Any Price,Lisa Kleypas,Historical Romance:Historical Romance,26 May 2015,416,AVON BOOKS,English
Wilde in Love : The Wildes of Lindow Castle,Eloisa James,Historical Romance:Historical Romance:Historical Fiction,31 Oct 2017,416,AVON BOOKS,English
The Arrangement,Mary Balogh,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction,09 Mar 2015,380,Dell,English
Only Beloved,Mary Balogh,Historical Romance:Historical Romance,03 May 2016,393,Berkley Books,English
Children of Liberty,Paullina Simons,Historical Romance:Historical Romance,20 Jun 2013,432,HarperCollins Publishers,English
Pride & Prejudice : Drop Caps,Jane Austen,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,20 Dec 2012,416,Penguin Putnam Inc,English
Pride and Pleasure : Erotic Romance,Sylvia Day,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,27 Feb 2013,288,Penguin Books Ltd,English
Highlander Most Wanted,Maya Banks,Erotic Fiction:Romance:Romance Books:Historical Romance:Historical Romance,03 Jun 2013,352,Random House USA Inc,English
The Black Moon,Winston Graham,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,01 Jun 2017,576,Pan MacMillan,English
Pride And Prejudice And Zombies,Steve Hockensmith,Contemporary Fiction:Horror:Horror:Historical Romance:Historical Romance:Historical Fiction:Parodies & Spoofs,21 Mar 2011,320,Quirk Books,English
The Temporary Wife/A Promise of Spring,Mary Balogh,Romance:Romance Books:Historical Romance:Historical Romance,28 Feb 2012,511,Random House USA Inc,English
Spell Of The Highlander,Karen Marie Moning,Romance:Romance Books:Historical Romance:Historical Romance,07 Jul 2006,416,Bantam Doubleday Dell Publishing Group Inc,English
A Rogue's Proposal,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,29 Aug 2011,406,HarperCollins Publishers Inc,English
The Toll-Gate,Georgette Heyer,Historical Romance:Historical Romance:Historical Fiction,22 Nov 2005,288,Cornerstone,English
That Perfect Someone : A Malory Novel,Johanna Lindsey,Contemporary Fiction:Historical Romance:Historical Romance,24 May 2011,440,SIMON & SCHUSTER,English
All About Passion,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance,29 Aug 2011,428,HarperCollins Publishers Inc,English
A Civil Contract,Georgette Heyer,Historical Romance:Historical Romance:Historical Fiction,26 Jul 2005,384,Cornerstone,English
The Accidental Wedding,Anne Gracie,Romance:Romance Books:Historical Romance:Historical Romance,25 Jul 2011,326,Penguin Putnam Inc,English
Seven Nights in a Rogue's Bed,Anna Campbell,Contemporary Fiction:Historical Romance:Historical Romance,25 Sep 2012,404,Little Brown & Company,English
Pride and Prejudice - Classics Reimagined,Jane Austen:Alice Pattullo,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,01 Oct 2015,376,Quarry Books,English
Longbourn,Jo Baker,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,23 Dec 2013,446,Random House LCC US,English
Lady Susan,Jane Austen,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance:Fiction In Translation,03 Mar 2016,128,Penguin Books Ltd,English
The Shadow Sister,Lucinda Riley,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction,03 Nov 2016,608,Pan MacMillan,English
The Designs of Lord Randolph Cavanaugh,Stephanie Laurens,Historical Romance:Historical Romance:Historical Fiction,24 Apr 2018,384,Mira Books,English
Bellagrand,Paullina Simons,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,27 Mar 2014,576,HarperCollins Publishers,English
Cousin Kate,Georgette Heyer,Classic Books & Novels:Historical Romance:Historical Romance:Historical Fiction,22 Nov 2005,336,Cornerstone,English
Beautiful Ruins,Jess Walter,Contemporary Fiction:Historical Romance:Historical Romance:Sagas,02 Apr 2013,337,HARPER PERENNIAL,English
Far from the Madding Crowd,Thomas Hardy:Rosemarie Morgan:Shannon Russell,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance:Sci Fi Books for Kids,01 May 2003,480,Penguin Books Ltd,English
The Promise In A Kiss,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,29 Aug 2011,384,HarperCollins Publishers Inc,English
Birth of the Kingdom,Jan Guillou,Historical Adventure:Historical Romance:Historical Romance:Fiction In Translation,17 Dec 2010,512,HarperCollins Publishers,English
It Happened One Season,Stephanie Laurens:Jacquie D'Alessandro:Candice Hern:Mary Balogh,Romance:Romance Books:Historical Romance:Historical Romance:Short Story Books,02 Sep 2011,432,HarperCollins Publishers Inc,English
The Lady's Command,Stephanie Laurens,Contemporary Fiction:Historical Crime:Historical Crime:Adventure Books:Historical Romance:Historical Romance:Historical Fiction,29 Dec 2015,347,Mira Books,English
One Good Earl Deserves a Lover,Sarah MacLean,Historical Romance:Historical Romance,29 Jan 2013,384,HarperCollins Publishers Inc,English
Firelight : Number 1 in series,Kristen Callihan,Fantasy:Fantasy Books:Historical Romance:Historical Romance,01 Mar 2012,384,Little Brown & Company,English
Only Enchanting,Mary Balogh,Romance:Romance Books:Historical Romance:Historical Romance,25 Nov 2014,387,Berkley Books,English
Romancing Mr Bridgerton : Number 4 in series,Julia Quinn,Historical Romance:Historical Romance:Historical Fiction,25 Aug 2006,384,Little Brown Book Group,English
Someone to Love,Mary Balogh,Historical Romance:Historical Romance,08 Nov 2016,392,Berkley Books,English
The Lady Most Willing... : A Novel in Three Parts,Julia Quinn:Eloisa James:Connie Brockway,Contemporary Fiction:Historical Romance:Historical Romance:Short Story Books,01 Jan 2013,384,HarperCollins Publishers Inc,English
All About Love,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance,15 Sep 2011,408,HarperCollins Publishers Inc,English
Lady Osbaldestone's Christmas Goose,Stephanie Laurens,Contemporary Fiction:Crime:Crime Fiction:Romance:Romance Books:Historical Romance:Historical Romance,25 Jul 2017,None,Savdek Management Pty Ltd,English
Only a Kiss,Mary Balogh,Historical Romance:Historical Romance,16 Oct 2015,394,Berkley Books,English
On A Wild Night,Stephanie Laurens,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,29 Aug 2011,416,HarperCollins Publishers Inc,English
The Poldark Colouring Book,Poldark:Gwen Burns,Art Techniques & Principles:Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction:Crafts & Hobbies:Stationery,22 Sep 2016,112,Pan MacMillan,English
At Last Comes Love,Mary Balogh,Romance:Romance Books:Historical Romance:Historical Romance,01 May 2009,386,Random House USA Inc,English
The The Road to Jerusalem: The Road to Jerusalem Crusades Trilogy Bk. 1,Jan Guillou:Steven T. Murray,Historical Adventure:Historical Romance:Historical Romance:Fiction In Translation,17 Dec 2010,400,HarperCollins Publishers,English
The Brothers Karamazov,Fyodor Dostoyevsky,Literature: History & Criticism:Literary Studies: General:Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,14 Jun 2002,824,Farrar Straus & Giroux Inc,English
Dilly's Sacrifice : The gripping saga of a mother's love from a much-loved Sunday Times bestselling author,Rosie Goodwin,Contemporary Fiction:Historical Romance:Historical Romance:Sagas,24 Sep 2015,464,Little Brown Book Group,English
Dark Angel/Lord Carew's Bride,Mary Balogh,Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance,23 Feb 2010,593,Random House USA Inc,English
